domain,campaign,engagement_rate
rolex,perpetual,0.0914
rolex,rolexfamily,0.0176
omega,Deville,0.0961
omega,ValentinesDay,0.1072
omega,OMEGAOfficialTimekeeper,0.2139
itisdw,lazyhang,0.0156
itisdw,dwgiftsoflove,0.0061
itisdw,danielwellington,7.7447
swatch,timeiswhatyoumakeofit,0.0258
swatch,swatchwithlove,0.0332
swatch,swatchmytime,0.0377
