,Country,Followers,Followers(%),Campaign Retweeters,Campaign Retweeters(%)
0,united states,8,15.09433962,0,0
1,georgia,2,3.773584906,0,0
3,london,1,1.886792453,0,0
5,japan,1,1.886792453,0,0
6,mexico,1,1.886792453,0,0
8,uzbekistan,1,1.886792453,0,0
9,Others,35,73.584909,0,100
