campaign,likes_sum,likes_mean,retweet_sum,retweet_mean,replies_sum,replies_mean,engagement_sum,engagement_mean
DeVille,1357,193.8571429,98,14,12,1.714285714,0.672500844,0.096071549
ValentinesDay,1009,201.8,91,18.2,19,3.8,0.536166203,0.107233241
OMEGAOfficialTimekeeper,1141,380.3333333,129,43,28,9.333333333,0.641648357,0.213882786
