campaign,likes_sum,likes_mean,retweet_sum,retweet_mean,replies_sum,replies_mean,engagement_sum,engagement_mean
dwgiftsoflove,10,0.714285714,0,0,4,0.285714286,0.085414116,0.006101008
danielwellington,43233,1351.03125,20829,650.90625,431,13.46875,247.831905,7.744747032
layzhang,1,0.5,0,0,2,1,0.031318509,0.015659255
