TweetDate,likes_sum,likes_mean,retweet_sum,retweet_mean,replies_sum,replies_mean,engagement_sum,engagement_mean
7/2/2021,183,183,14,14,3,3,0.094225165,0.094225165
14/2/2021,251,251,17,17,6,6,0.131331535,0.131331535
21/2/2021,722,240.6666667,60,20,7,2.333333333,0.36564367,0.121881223
28/2/2021,1141,380.3333333,129,43,28,9.333333333,0.641648357,0.213882786
