TweetDate,likes_sum,likes_mean,retweet_sum,retweet_mean,replies_sum,replies_mean,engagement_sum,engagement_mean
7/2/2021,0,0,0,0,0,0,0,0
14/2/2021,0,0,0,0,0,0,0,0
21/2/2021,960,320,110,36.66666667,32,10.66666667,0.166419315,0.055473105
28/2/2021,3633,908.25,229,57.25,75,18.75,0.554648253,0.138662063
