week,company,count
week 1,omega,5
week 2,omega,4
week 3,omega,3
week 4,omega,3
week 1,rolex,3
week 2,rolex,3
week 3,rolex,3
week 4,rolex,4
week 1,itisdw,16
week 2,itisdw,12
week 3,itisdw,10
week 4,itisdw,10
week 1,swatch,4
week 2,swatch,4
week 3,swatch,4
week 4,swatch,1
