domain,type,value
omega,facebook,1800
omega,instagram,3000
omega,twitter,239.8
rolex,facebook,7500
rolex,instagram,11500
rolex,twitter,805.2
itisdw,facebook,1600
itisdw,instagram,4900
itisdw,twitter,35.1
swatch,facebook,5700
swatch,instagram,1300
swatch,twitter,49.6
