TweetDate,r_likes_sum,r_likes_mean,retweet_sum,r_retweet_mean,r_replies_sum,r_replies_mean,r_engagement_sum,r_engagement_mean,o_likes_sum,o_likes_mean,o_retweet_sum,o_retweet_mean,o_replies_sum,o_replies_mean,o_engagement_sum,o_engagement_mean,s_likes_sum,s_likes_mean,s_retweet_sum,s_retweet_mean,s_replies_sum,s_replies_mean,s_engagement_sum,s_engagement_mean,d_likes_sum,d_likes_mean,d_retweet_sum,d_retweet_mean,d_replies_sum,d_replies_mean,d_engagement_sum,d_engagement_mean
7/2/2021,0,0,0,0,0,0,0,0,183,183,14,14,3,3,0.094225165,0.094225165,36,9,3,0.75,0,0,0.135610733,0.033902683,14,14,1,1,0,0,0.045554195,0.045554195
14/2/2021,0,0,0,0,0,0,0,0,251,251,17,17,6,6,0.131331535,0.131331535,12,3,8,2,4,1,0.154983694,0.038745924,42,8.4,4,0.8,1,0.2,0.156592546,0.031318509
21/2/2021,960,320,110,36.66666667,32,10.66666667,0.166419315,0.055473105,722,240.6666667,60,20,7,2.333333333,0.36564367,0.121881223,26,6.5,2,0.5,1,0.25,0.113008944,0.028252236,74,7.4,4,0.4,0,0,0.233465251,0.023346525
28/2/2021,3633,908.25,229,57.25,75,18.75,0.554648253,0.138662063,1141,380.3333333,129,43,28,9.333333333,0.641648357,0.213882786,1,1,0,0,1,1,0.019372962,0.019372962,8051,805.1,4591,459.1,89,8.9,50.33169148,5.033169148
