Country,Followers,Followers(%),Campaign Retweeters,Campaign Retweeters(%)
indonesia,6,12.76595745,11,12.35955056
india,3,6.382978723,4,4.494382022
pakistan,2,4.255319149,0,0
united states,2,4.255319149,0,0
south africa,2,4.255319149,0,0
egypt,1,2.127659574,0,0
ireland,1,2.127659574,0,0
france,1,2.127659574,0,0
Others,28,61.70213,65,73.03370787
