campaign,likes_sum,likes_mean,retweet_sum,retweet_mean,replies_sum,replies_mean,engagement_sum,engagement_mean
perpetual,6667,555.5833333,555,46.25,211,17.58333333,1.096877154,0.091406429
reloxfamily,93,93,12,12,5,5,0.01763548,0.01763548
