Country,Followers,Followers(%),Campaign Retweeters,Campaign Retweeters(%)
united states,3,6.25,5,12.82051282
india,3,6.25,1,2.564102564
brazil,2,4.166666667,0,0
pakistan,2,4.166666667,0,0
turkey,1,2.083333333,0,0
uganda🇺🇬🇺🇬,1,2.083333333,0,0
latvia,1,2.083333333,0,0
Others,32,72.916667,33,84.61538462
