Country,Followers,Followers(%),Campaign Retweeters,Campaign Retweeters(%)
united states,3,7.692307692,28,14.73684211
france,3,7.692307692,0,0
kenya,2,5.128205128,0,0
ireland,2,5.128205128,0,0
denmark,1,2.564102564,0,0
uk & europe,1,2.564102564,0,0
bologna,1,2.564102564,0,0
ciudad autónoma de buenos aire,1,2.564102564,0,0
Tokyo,1,2.564102564,0,0
Others,24,61.53846154,133,70
