campaign,likes_sum,likes_mean,retweet_sum,retweet_mean,replies_sum,replies_mean,engagement_sum,engagement_mean
timeiswhatyoumakeofit,5,1.666666667,2,0.666666667,3,1,0.077491847,0.025830616
swatchwithlove,44,6.285714286,9,1.285714286,2,0.285714286,0.232475542,0.033210792
swatchmytime,26,8.666666667,2,0.666666667,1,0.333333333,0.113008944,0.037669648
