TweetDate,likes_sum,likes_mean,retweet_sum,retweet_mean,replies_sum,replies_mean,engagement_sum,engagement_mean
7/2/2021,36,9,3,0.75,0,0,0.135610733,0.033902683
14/2/2021,12,3,8,2,4,1,0.154983694,0.038745924
21/2/2021,26,6.5,2,0.5,1,0.25,0.113008944,0.028252236
28/2/2021,1,1,0,0,1,1,0.019372962,0.019372962
